Time [s],Channel 0
0.579323920,0
0.579326000,1
0.579327240,0
0.579329320,1
0.579330560,0
0.579332640,1
0.579333920,0
0.579336000,1
0.579337240,0
0.579339320,1
0.579340560,0
0.579342640,1
0.579343920,0
0.579346000,1
0.579347240,0
0.579349320,1
0.579350560,0
0.579352640,1
0.579353920,0
0.579356000,1
0.579357240,0
0.583287320,1
0.583288560,0
0.583290640,1
0.583291880,0
0.583293960,1
0.583295240,0
0.583297320,1
0.583298560,0
0.583300640,1
0.583301880,0
0.583303960,1
0.583305240,0
0.583307320,1
0.583308560,0
0.583310640,1
0.583311880,0
0.583313960,1
0.583315240,0
0.583317320,1
0.583318560,0
0.583320640,1
0.583321880,0
0.583323960,1
0.583325240,0
0.583327320,1
0.583328560,0
0.583330640,1
0.583331880,0
0.583333960,1
0.583335240,0
0.583337320,1
0.583338560,0
0.587224520,1
0.587225800,0
0.587227880,1
0.587229120,0
0.587231200,1
0.587232440,0
0.587234520,1
0.587235800,0
0.587237880,1
0.587239120,0
0.587241200,1
0.587242440,0
0.587244520,1
0.587245800,0
0.587247880,1
0.587249120,0
0.587251200,1
0.587252440,0
0.587254520,1
0.587255800,0
0.587257880,1
0.587259120,0
0.587261200,1
0.587262440,0
0.587264520,1
0.587265800,0
0.587267880,1
0.587269120,0
0.587271200,1
0.587272440,0
0.587274520,1
0.587275800,0
0.591150400,1
0.591151680,0
0.591153760,1
0.591155000,0
0.591157080,1
0.591158320,0
0.591160400,1
0.591161680,0
0.591163760,1
0.591165000,0
0.591167080,1
0.591168320,0
0.591170400,1
0.591171680,0
0.591173760,1
0.591175000,0
0.591177080,1
0.591178320,0
0.591180400,1
0.591181680,0
0.591183760,1
0.591185000,0
0.591187080,1
0.591188320,0
0.591190400,1
0.591191680,0
0.591193760,1
0.591195000,0
0.591197080,1
0.591198320,0
0.591200400,1
0.591201680,0
0.595311480,1
0.595312720,0
0.595314800,1
0.595316080,0
0.595318160,1
0.595319400,0
0.595321480,1
0.595322720,0
0.595324800,1
0.595326080,0
0.595328160,1
0.595329400,0
0.595331480,1
0.595332720,0
0.595334800,1
0.595336080,0
0.595338160,1
0.595339400,0
0.595341480,1
0.595342720,0
0.595344800,1
0.595346080,0
0.595348160,1
0.595349400,0
0.595351480,1
0.595352720,0
0.595354800,1
0.595356080,0
0.595358160,1
0.595359400,0
0.595361480,1
0.595362720,0
0.599285360,1
0.599286600,0
0.599288680,1
0.599289960,0
0.599292040,1
0.599293280,0
0.599295360,1
0.599296600,0
0.599298680,1
0.599299960,0
0.599302000,1
0.599303280,0
0.599305360,1
0.599306600,0
0.599308680,1
0.599309960,0
0.599312000,1
0.599313280,0
0.599315360,1
0.599316600,0
0.599318680,1
0.599319960,0
0.599322000,1
0.599323280,0
0.599325360,1
0.599326600,0
0.599328680,1
0.599329960,0
0.599332000,1
0.599333280,0
0.599335360,1
0.599336600,0
0.603914320,1
0.603915600,0
0.603917640,1
0.603918920,0
0.603921000,1
0.603922240,0
0.603924320,1
0.603925600,0
0.603927640,1
0.603928920,0
0.603931000,1
0.603932240,0
0.603934320,1
0.603935600,0
0.603937640,1
0.603938920,0
0.603941000,1
0.603942240,0
0.603944320,1
0.603945600,0
0.603947640,1
0.603948920,0
0.603951000,1
0.603952240,0
0.603954320,1
0.603955600,0
0.603957640,1
0.603958920,0
0.603961000,1
0.603962240,0
0.603964320,1
0.603965600,0
0.607287240,1
0.607288480,0
0.607290560,1
0.607291800,0
0.607293880,1
0.607295160,0
0.607297240,1
0.607298480,0
0.607300560,1
0.607301800,0
0.607303880,1
0.607305160,0
0.607307240,1
0.607308480,0
0.607310560,1
0.607311800,0
0.607313880,1
0.607315160,0
0.607317240,1
0.607318480,0
0.607320560,1
0.607321800,0
0.607323880,1
0.607325160,0
0.607327240,1
0.607328480,0
0.607330560,1
0.607331800,0
0.607333880,1
0.607335160,0
0.607337240,1
0.607338480,0
0.611167800,1
0.611169040,0
0.611171120,1
0.611172400,0
0.611174480,1
0.611175720,0
0.611177800,1
0.611179040,0
0.611181120,1
